City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
395,Codrington,AU,52.48,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
396,Edson,CA,78.91,clear sky,53.5835,-116.4356,"Holiday Inn Express & Suites Edson, an IHG Hotel"
397,Xintai,CN,84.61,overcast clouds,35.9006,117.7519,银座佳驿酒店
398,Adeje,ES,73.87,scattered clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
399,Shanting,CN,85.21,moderate rain,35.0753,117.4578,JUNYI Hotel Shandong Zaozhuang Shanting District Xinyuan Road
401,Machiques,VE,77.41,few clouds,10.0644,-72.545,hotel el markes
402,Osmanabad,IN,71.53,overcast clouds,18.1667,76.05,Hotel Megh Malhar
403,Makarov,RU,59.34,broken clouds,48.6333,142.8,Gostinitsa ''yana''
404,Mecca,SA,85.44,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
406,Namtsy,RU,81.68,overcast clouds,62.7161,129.6658,"""Эңсиэли Киин"""
407,Athabasca,CA,73.81,broken clouds,54.7169,-113.2854,Athabasca Lodge Motel
408,Bonavista,CA,55.71,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
409,Saint Anthony,US,82.33,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
411,Anadyr,RU,57.7,few clouds,64.75,177.4833,Отке17.ру — жильё для командированных
413,Matara,LK,78.62,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
414,Pilar,BR,75.13,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
416,Los Llanos De Aridane,ES,66.13,scattered clouds,28.6585,-17.9182,Valle Aridane
419,Nikolskoye,RU,55.8,broken clouds,59.7035,30.7861,Tourist House - Sablino
420,Worland,US,81.61,few clouds,44.0169,-107.9554,Town House Motor Inn
421,Mabaruma,GY,73.18,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
422,Kota Kinabalu,MY,85.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
425,Carinhanha,BR,68.2,broken clouds,-14.3047,-43.765,Hotel União
426,Sojitra,IN,80.98,overcast clouds,22.55,72.7167,Gayatri Villa
427,Itarema,BR,78.19,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
428,Paita,PE,63.27,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
